# theta(rad)  log10(N_S)  adv_dB
0.261799  -0.750000  0.51810285
0.261799  -0.708333  0.55330248
0.261799  -0.666667  0.58970812
0.261799  -0.625000  0.62720843
0.261799  -0.583333  0.66567511
0.261799  -0.541667  0.70496426
0.261799  -0.500000  0.74491818
0.261799  -0.458333  0.78536771
0.261799  -0.416667  0.82613497
0.261799  -0.375000  0.86703641
0.261799  -0.333333  0.90788604
0.261799  -0.291667  0.94849882
0.261799  -0.250000  0.98869397
0.261799  -0.208333  1.02829809
0.261799  -0.166667  1.06714811
0.261799  -0.125000  1.10509374
0.261799  -0.083333  1.14199956
0.261799  -0.041667  1.17774659
0.261799  0.000000  1.21223333
0.261799  0.041667  1.24537629
0.261799  0.083333  1.27711005
0.261799  0.125000  1.30738686
0.261799  0.166667  1.33617587
0.261799  0.208333  1.36346203
0.261799  0.250000  1.38924480
0.261799  0.291667  1.41353664
0.261799  0.333333  1.43636139
0.261799  0.375000  1.45775272
0.261799  0.416667  1.47775248
0.261799  0.458333  1.49640914
0.261799  0.500000  1.51377637
0.261799  0.541667  1.52991167
0.261799  0.583333  1.54487517
0.261799  0.625000  1.55872855
0.261799  0.666667  1.57153412
0.261799  0.708333  1.58335403
0.261799  0.750000  1.59424957
0.261799  0.791667  1.60428067
0.261799  0.833333  1.61350543
0.261799  0.875000  1.62197981
0.261799  0.916667  1.62975738
0.261799  0.958333  1.63688917
0.261799  1.000000  1.64342349
0.261799  1.041667  1.64940598
0.261799  1.083333  1.65487951
0.261799  1.125000  1.65988429
0.261799  1.166667  1.66445786
0.261799  1.208333  1.66863520
0.261799  1.250000  1.67244883
0.261799  1.291667  1.67592892
0.261799  1.333333  1.67910337
0.261799  1.375000  1.68199799
0.261799  1.416667  1.68463658
0.261799  1.458333  1.68704106
0.261799  1.500000  1.68923160
0.261799  1.541667  1.69122675
0.261799  1.583333  1.69304353
0.261799  1.625000  1.69469752
0.261799  1.666667  1.69620305
0.261799  1.708333  1.69757320
0.261799  1.750000  1.69881995
0.261799  1.791667  1.69995425
0.261799  1.833333  1.70098611
0.261799  1.875000  1.70192468
0.261799  1.916667  1.70277829
0.261799  1.958333  1.70355457
0.261799  2.000000  1.70426045

0.314159  -3.000000  0.00412019
0.314159  -2.958333  0.00453394
0.314159  -2.916667  0.00498911
0.314159  -2.875000  0.00548984
0.314159  -2.833333  0.00604063
0.314159  -2.791667  0.00664646
0.314159  -2.750000  0.00731279
0.314159  -2.708333  0.00804559
0.314159  -2.666667  0.00885144
0.314159  -2.625000  0.00973753
0.314159  -2.583333  0.01071175
0.314159  -2.541667  0.01178274
0.314159  -2.500000  0.01295998
0.314159  -2.458333  0.01425383
0.314159  -2.416667  0.01567563
0.314159  -2.375000  0.01723777
0.314159  -2.333333  0.01895380
0.314159  -2.291667  0.02083850
0.314159  -2.250000  0.02290802
0.314159  -2.208333  0.02517993
0.314159  -2.166667  0.02767336
0.314159  -2.125000  0.03040914
0.314159  -2.083333  0.03340988
0.314159  -2.041667  0.03670010
0.314159  -2.000000  0.04030636
0.314159  -1.958333  0.04425739
0.314159  -1.916667  0.04858417
0.314159  -1.875000  0.05332009
0.314159  -1.833333  0.05850101
0.314159  -1.791667  0.06416538
0.314159  -1.750000  0.07035429
0.314159  -1.708333  0.07711149
0.314159  -1.666667  0.08448346
0.314159  -1.625000  0.09251933
0.314159  -1.583333  0.10127082
0.314159  -1.541667  0.11079209
0.314159  -1.500000  0.12113956
0.314159  -1.458333  0.13237160
0.314159  -1.416667  0.14454816
0.314159  -1.375000  0.15773027
0.314159  -1.333333  0.17197948
0.314159  -1.291667  0.18735710
0.314159  -1.250000  0.20392334
0.314159  -1.208333  0.22173637
0.314159  -1.166667  0.24085111
0.314159  -1.125000  0.26131803
0.314159  -1.083333  0.28318173
0.314159  -1.041667  0.30647945
0.314159  -1.000000  0.33123953
0.314159  -0.958333  0.35747977
0.314159  -0.916667  0.38520588
0.314159  -0.875000  0.41440992
0.314159  -0.833333  0.44506895
0.314159  -0.791667  0.47714378
0.314159  -0.750000  0.51057811
0.314159  -0.708333  0.54529791
0.314159  -0.666667  0.58121129
0.314159  -0.625000  0.61820878
0.314159  -0.583333  0.65616412
0.314159  -0.541667  0.69493558
0.314159  -0.500000  0.73436777
0.314159  -0.458333  0.77429390
0.314159  -0.416667  0.81453851
0.314159  -0.375000  0.85492041
0.314159  -0.333333  0.89525596
0.314159  -0.291667  0.93536236
0.314159  -0.250000  0.97506092
0.314159  -0.208333  1.01418017
0.314159  -0.166667  1.05255877
0.314159  -0.125000  1.09004797
0.314159  -0.083333  1.12651362
0.314159  -0.041667  1.16183782
0.314159  0.000000  1.19591987
0.314159  0.041667  1.22867690
0.314159  0.083333  1.26004386
0.314159  0.125000  1.28997316
0.314159  0.166667  1.31843396
0.314159  0.208333  1.34541103
0.314159  0.250000  1.37090349
0.314159  0.291667  1.39492336
0.314159  0.333333  1.41749393
0.314159  0.375000  1.43864825
0.314159  0.416667  1.45842745
0.314159  0.458333  1.47687927
0.314159  0.500000  1.49405660
0.314159  0.541667  1.51001614
0.314159  0.583333  1.52481722
0.314159  0.625000  1.53852072
0.314159  0.666667  1.55118818
0.314159  0.708333  1.56288095
0.314159  0.750000  1.57365961
0.314159  0.791667  1.58358334
0.314159  0.833333  1.59270959
0.314159  0.875000  1.60109365
0.314159  0.916667  1.60878849
0.314159  0.958333  1.61584454
0.314159  1.000000  1.62230958
0.314159  1.041667  1.62822872
0.314159  1.083333  1.63364438
0.314159  1.125000  1.63859630
0.314159  1.166667  1.64312161
0.314159  1.208333  1.64725493
0.314159  1.250000  1.65102840
0.314159  1.291667  1.65447187
0.314159  1.333333  1.65761295
0.314159  1.375000  1.66047716
0.314159  1.416667  1.66308804
0.314159  1.458333  1.66546729
